name,hue_deg,wavelength_nm,frequency_thz,charge_differential,field_strength,field_type,dominant_charge
red,0,700,428,0.7,0.8925,FORCE_FIELD,POSITIVE
red-orange,30,630,476,0.6,0.675,FORCE_FIELD,POSITIVE
orange,60,610,492,0.5,0.525,FORCE_FIELD,POSITIVE
yellow-orange,90,590,508,0.4,0.39,AMBIENT_FIELD,POSITIVE
yellow,120,575,521,0.25,0.27,AMBIENT_FIELD,POSITIVE
yellow-green,150,555,541,0.1,0.12,NULL_FIELD,BALANCED
green,180,530,566,0.55,0.726,FORCE_FIELD,NEGATIVE
blue-green,210,505,594,0.65,0.7995,FORCE_FIELD,NEGATIVE
blue,240,470,638,0.75,0.8775,FORCE_FIELD,NEGATIVE
blue-violet,270,450,667,0.65,0.702,FORCE_FIELD,NEGATIVE
violet,300,420,714,0.45,0.459,AMBIENT_FIELD,NEGATIVE
red-violet,330,390,769,0.05,0.0555,NULL_FIELD,BALANCED
